ID Cliente,Zona,País,Tipo de producto,Canal de venta,Prioridad,Fecha pedido,ID Pedido,Fecha envío,Unidades,Precio Unitario,Coste unitario,Importe venta total,Importe Coste total,S01,S02,S03,S04,Venta caida
C2421,Europa,United Kingdom,Snacks,Offline,Crítica,2020-10-12,242113196,2020-11-30,5530,152.58,97.44,843767.4,538843.2,1,0,0,0,0
C1908,Europa,Malta,Cárnicos,Online,Alta,2020-01-26,190800607,2020-01-28,994,421.89,364.69,419358.66,362501.86,1,0,0,0,0
C7652,Australia y Oceanía,Marshall Islands,Cereales,Online,Crítica,2020-11-09,765228068,2020-11-21,6845,205.7,117.11,1408016.5,801617.95,1,0,0,0,1
C2326,África,Iran,Frutas,Offline,Baja,2021-08-21,232631909,2021-10-02,9806,9.33,6.92,91489.98,67857.52,1,0,0,0,1
C5305,Centroamérica y Caribe,Guatemala,Alimento infantil,Offline,Media,2022-09-30,530560958,2022-11-12,3633,255.28,159.42,927432.24,579172.86,0,1,0,0,0
C5168,Centroamérica y Caribe,Grenada,Bebida,Offline,Baja,2022-01-21,516876542,2022-02-21,4110,47.45,31.79,195019.5,130656.9,0,1,0,0,0
C9197,Australia y Oceanía,Fiji,Snacks,Offline,Media,2022-02-17,919752490,2022-02-27,4056,152.58,97.44,618864.48,395216.64,0,1,0,0,1
C2876,África,Tunisia ,Cosméticos,Offline,Media,2020-03-21,287675130,2020-05-07,8319,437.2,263.33,3637066.8,2190642.27,0,1,0,0,0
C8394,Centroamérica y Caribe,Grenada,Cuidado personal,Offline,Crítica,2021-02-13,839443290,2021-04-01,8779,81.73,56.67,717507.67,497505.93,0,0,1,0,0
C8141,Australia y Oceanía,Australia,Material de oficina,Online,Media,2021-06-15,814168298,2021-07-12,9347,651.21,524.96,6086859.87,4906801.12,0,0,1,0,0
C3212,Norteamérica,Greenland,Cosméticos,Online,Alta,2022-07-15,321273982,2022-08-30,966,154.06,263.33,422335.2,254376.78,0,0,1,0,1
C8904,África,Angola,Snacks,Online,Crítica,2020-05-13,890496671,2020-06-05,6609,152.58,97.44,1008401.22,643980.96,0,0,1,0,0
C5218,África,Zambia,Bebida,Offline,Crítica,2021-05-06,521885192,2021-05-22,6281,47.45,31.79,298033.45,199672.99,0,0,0,1,0
C4358,África,Kenya,Verduras,Offline,Alta,2020-11-07,435800874,2020-12-25,2018,154.06,90.93,310893.08,183496.74,0,0,1,0,0
C1229,África,Azerbaijan,Frutas,Offline,Crítica,2021-10-20,122917544,2021-11-17,2888,9.33,6.92,26945.04,19984.96,0,0,0,1,0
C4942,África,Mozambique,Cuidado personal,Offline,Crítica,2021-10-21,494221532,2021-11-18,9989,81.73,56.67,816400.97,566076.63,0,0,0,1,1
C7310,Australia y Oceanía,Federated States of Micronesia,Cosméticos,Offline,Crítica,2020-04-19,731011664,2020-04-30,1451,437.2,263.33,634377.2,382091.83,1,0,0,0,0
C5348,Centroamérica y Caribe,Dominican Republic,Snacks,Offline,Crítica,2022-11-03,534899270,2022-11-04,7436,152.58,97.44,1134584.88,724563.84,1,0,0,0,1
C5778,África,Libya,Material de oficina,Online,Alta,2022-07-10,577808177,2022-07-22,5135,651.21,524.96,3343963.35,2695669.6,1,0,0,0,0
C2519,Asia,Uzbekistan,Material de oficina,Online,Baja,2021-06-01,251974713,2021-06-21,3772,651.21,524.96,2456364.12,1980149.12,1,0,0,0,0
C8199,Asia,Sri Lanka,Cuidado personal,Offline,Media,2020-07-28,819947707,2020-09-05,9602,81.73,56.67,784771.46,544145.34,0,1,0,0,1
C4645,África,The Gambia,Cosméticos,Online,Crítica,2021-06-08,464588487,2021-07-25,912,437.2,263.33,398726.4,240156.96,0,1,0,0,0
C1390,Asia,Myanmar,Snacks,Offline,Media,2021-07-26,139070880,2021-08-04,3019,152.58,97.44,460639.02,294171.36,0,1,0,0,0
C4168,Asia,Bhutan,Ropa,Online,Crítica,2021-10-15,416881215,2021-10-21,3270,109.28,35.84,357345.6,117196.8,0,1,0,0,1
C1418,África,Mali,Verduras,Online,Crítica,2021-11-23,141818320,2021-11-29,6047,154.06,90.93,931600.82,549853.71,0,0,1,0,0
C4779,África,Burundi,Cuidado personal,Online,Alta,2022-01-31,477993524,2022-03-12,7761,81.73,56.67,634306.53,439815.87,0,0,1,0,0
C8598,África,Libya,Ropa,Offline,Alta,2021-07-11,859830653,2021-08-05,1852,109.28,35.84,202386.56,66375.68,0,0,0,1,0
C3420,África,Nigeria,Ropa,Offline,Crítica,2022-08-26,342066037,2022-10-11,3797,109.28,35.84,414936.16,136084.48,0,0,1,0,0
C7497,Europa,Norway,Doméstico,Online,Crítica,2021-02-21,749748504,2021-03-16,6098,668.27,502.54,4075110.46,3064488.92,0,0,0,1,0
C8282,África,Kenya,Cosméticos,Offline,Media,2021-08-30,828239381,2021-10-08,3293,437.2,263.33,1439699.6,867145.69,0,0,0,1,0
C2932,Australia y Oceanía,Papua New Guinea,Verduras,Online,Alta,2022-02-19,293212497,2022-03-09,6948,154.06,90.93,1070408.88,631781.64,0,0,0,1,1
C2806,Asia,North Korea,Cuidado personal,Offline,Baja,2020-11-17,280654180,2021-01-02,663,81.73,56.67,54186.99,37572.21,0,0,0,1,0
C1968,Europa,Montenegro,Ropa,Offline,Media,2020-11-25,196863257,2021-01-09,5067,109.28,35.84,553721.76,181601.28,1,0,0,0,0
C8684,Europa,Norway,Frutas,Offline,Alta,2022-10-06,868451058,2022-10-08,2822,9.33,6.92,26329.26,19528.24,1,0,0,0,0
C4923,África,Lesotho,Ropa,Offline,Baja,2020-04-07,492341411,2020-05-24,3619,109.28,35.84,395484.32,129704.96,0,1,0,0,1
C4857,Asia,Indonesia,Cárnicos,Online,Alta,2021-12-02,485770642,2021-12-15,9183,421.89,364.69,3874215.87,3348948.27,1,0,0,0,0
C5362,África,Iraq,Bebida,Online,Alta,2020-11-28,536287581,2020-12-28,8268,47.45,31.79,392316.6,262839.72,0,1,0,0,0
C8517,Asia,Singapore,Cereales,Online,Crítica,2022-04-03,851753556,2022-05-12,1660,205.7,117.11,341462.0,194402.6,0,1,0,0,1
C8103,Asia,South Korea,Verduras,Online,Media,2021-05-15,810342395,2021-05-31,7177,154.06,90.93,1105688.62,652604.61,0,1,0,0,0
C3105,África,Lebanon,Doméstico,Online,Baja,2022-08-26,310540425,2022-09-01,4668,668.27,502.54,3119484.36,2345856.72,0,1,0,0,0
C2211,Asia,Myanmar,Frutas,Online,Alta,2020-11-23,221146476,2020-12-31,1011,9.33,6.92,9432.63,6996.12,0,0,1,0,0
C1312,Asia,Vietnam,Ropa,Online,Alta,2022-09-23,131271874,2022-09-27,5120,154.06,35.84,559513.6,183500.8,0,0,1,0,0
C6003,África,Jordan,Frutas,Online,Baja,2022-04-25,600340449,2022-06-02,2935,9.33,6.92,27383.55,20310.2,0,0,1,0,1
C9080,Australia y Oceanía,Palau,Material de oficina,Offline,Baja,2022-10-20,908088529,2022-11-22,2430,651.21,524.96,1582440.3,1275652.8,0,0,1,0,0
C4045,Centroamérica y Caribe,Antigua and Barbuda ,Cereales,Offline,Crítica,2020-08-04,404564940,2020-08-28,8611,205.7,117.11,1771282.7,1008434.21,1,0,0,0,1
C7601,Australia y Oceanía,Papua New Guinea,Cuidado personal,Offline,Baja,2021-01-21,760131013,2021-01-28,8513,81.73,56.67,695767.49,482431.71,1,0,0,0,1
C1154,Centroamérica y Caribe,El Salvador,Ropa,Offline,Media,2022-11-02,115460574,2022-11-19,6205,109.28,35.84,678082.4,222387.2,1,0,0,0,0
C7315,África,Republic of the Congo,Bebida,Offline,Baja,2022-02-08,731539952,2022-02-09,7783,47.45,31.79,369303.35,247421.57,1,0,0,0,0
C4396,Australia y Oceanía,Vanuatu,Cárnicos,Online,Crítica,2022-08-03,439667975,2022-09-21,6379,421.89,364.69,2691236.31,2326357.51,0,1,0,0,0
C2914,Asia,Bangladesh,Ropa,Offline,Baja,2022-09-11,291455972,2022-09-16,7154,109.28,35.84,781789.12,256399.36,0,1,0,0,0
C5088,África,Burundi,Cereales,Offline,Baja,2022-09-01,508827769,2022-09-13,2299,205.7,117.11,472904.3,269235.89,0,1,0,0,0
C9340,África,South Sudan,Verduras,Online,Media,2020-04-17,934019696,2020-05-07,6039,154.06,97.44,930368.34,549126.27,0,1,0,0,0
C5795,África,Mozambique,Bebida,Online,Baja,2020-11-25,579580581,2020-12-12,9628,47.45,31.79,456848.6,306074.12,0,0,1,0,0
